,idVotant,Genre,Nom,Prénom,date_naissance,wikilink,age
258,PA720202,Mme,Krimi,Sonia,,Sonia_Krimi,38
259,PA720854,M.,Testé,Stéphane,,Stéphane_Testé,52
260,PA720960,M.,Serva,Olivier,,Olivier_Serva,46
261,PA721328,Mme,Brugnera,Anne,,Anne_Brugnera,50
262,PA721600,Mme,Rossi,Laurianne,,Laurianne_Rossi,36
263,PA722022,Mme,Romeiro Dias,Laëtitia,,Laëtitia_Romeiro Dias,40
264,PA722062,Mme,Granjus,Florence,,Florence_Granjus,58
265,PA722178,M.,Maire,Jacques,,Jacques_Maire_(homme_politique),58
266,PA702054,M.,Claireaux,Stéphane,1964-06-23,Stéphane_Claireaux,56
267,PA719326,Mme,Gipson,Séverine,,Séverine_Gipson,50
268,PA722090,Mme,Pételle,Bénédicte,,Bénédicte_Pételle,49
269,PA720516,Mme,Morlighem,Florence,,Florence_Morlighem,50
270,PA719736,Mme,Galliard-Minier,Camille,,Camille_Galliard-Minier,45
271,PA606098,M.,Marleix,Olivier,1971-02-06,Olivier_Marleix,50
272,PA721816,M.,Boucard,Ian,,Ian_Boucard,32
273,PA643089,M.,Thiériot,Jean-Louis,,Jean-Louis_Thiériot,51
274,PA721832,Mme,Boëlle,Sandra,,Sandra_Boëlle,59
275,PA722308,Mme,Serre,Nathalie,,Nathalie_Serre,52
276,PA719488,M.,Berta,Philippe,,Philippe_Berta,60
277,PA720256,Mme,Bannier,Géraldine,,Géraldine_Bannier,41
278,PA720326,M.,Hammouche,Brahim,,Brahim_Hammouche,49
279,PA721182,M.,Petit,Frédéric,,"Frédéric_Petit_(homme_politique,_1961)",60
280,PA722162,M.,Turquois,Nicolas,,Nicolas_Turquois,48
281,PA720568,Mme,Thill,Agnès,,Agnès_Thill,56
282,PA342601,M.,Brindeau,Pascal,,Pascal_Brindeau,46
283,PA720286,Mme,Fiat,Caroline,,Caroline_Fiat,44
284,PA722126,M.,Chiche,Guillaume,,Guillaume_Chiche,34
285,PA721896,Mme,Faucillon,Elsa,,Elsa_Faucillon,39
286,PA719194,Mme,de Courson,Yolaine,,Yolaine_de Courson,66
287,PA720162,M.,Bolo,Philippe,,Philippe_Bolo,53
288,PA336175,Mme,Pinel,Sylvia,1977-09-28,Sylvia_Pinel,43
289,PA606507,M.,Boudié,Florent,1973-09-22,Florent_Boudié,47
290,PA720944,Mme,Park,Zivka,,Zivka_Park,36
291,PA721702,M.,Fauvergue,Jean-Michel,,Jean-Michel_Fauvergue,64
292,PA330240,M.,Ciotti,Éric,1965-09-28,Éric_Ciotti,55
293,PA267200,M.,Huyghe,Sébastien,1969-10-25,Sébastien_Huyghe,51
294,PA267429,M.,Cinieri,Dino,1955-07-09,Dino_Cinieri,65
295,PA609726,M.,Aubert,Julien,1978-06-11,Julien_Aubert,42
296,PA720684,M.,Dumont,Pierre-Henri,,Pierre-Henri_Dumont,33
297,PA643103,M.,Ferrara,Jean-Jacques,,Jean-Jacques_Ferrara,53
298,PA720100,M.,Pradié,Aurélien,,Aurélien_Pradié,34
299,PA721474,M.,Viry,Stéphane,,Stéphane_Viry,51
300,PA721418,M.,Mignola,Patrick,,Patrick_Mignola,49
301,PA719266,M.,Cubertafon,Jean-Pierre,,Jean-Pierre_Cubertafon,73
302,PA719558,M.,Balanant,Erwan,,Erwan_Balanant,50
303,PA719874,Mme,Jacquier-Laforge,Élodie,,Élodie_Jacquier-Laforge,42
304,PA268019,M.,Lagarde,Jean-Christophe,1967-10-24,Jean-Christophe_Lagarde,53
305,PA267330,M.,Zumkeller,Michel,1966-01-21,Michel_Zumkeller,55
306,PA1198,Mme,Dumont,Laurence,1958-06-02,Laurence_Dumont,62
307,PA1592,M.,Habib,David,1961-03-16,David_Habib,59
308,PA608695,Mme,Untermaier,Cécile,1951-12-28,Cécile_Untermaier,69
309,PA267306,M.,Chassaigne,André,1950-07-02,André_Chassaigne,70
310,PA720996,M.,El Guerrab,M'jid,,M'jid_El Guerrab,37
311,PA2828,M.,Tourret,Alain,1947-12-25,Alain_Tourret,73
312,PA721880,Mme,Guévenoux,Marie,,Marie_Guévenoux,44
313,PA718744,Mme,Bagarry,Delphine,,Delphine_Bagarry,51
314,PA719330,M.,Gouttefarde,Fabien,,Fabien_Gouttefarde,42
315,PA719624,Mme,Couillard,Bérangère,,Bérangère_Couillard,34
316,PA719660,Mme,Dubos,Christelle,,Christelle_Dubos,44
317,PA719748,Mme,Chalas,Émilie,,Émilie_Chalas,43
318,PA720066,Mme,Rist,Stéphanie,,Stéphanie_Rist,47
319,PA720552,Mme,Rauch,Isabelle,,Isabelle_Rauch,52
320,PA720916,Mme,Lazaar,Fiona,,Fiona_Lazaar,35
321,PA721364,M.,Gauvain,Raphaël,,Raphaël_Gauvain,47
322,PA722102,Mme,Vidal,Annie,,Annie_Vidal,64
323,PA923,M.,Cornut-Gentille,François,1958-05-22,François_Cornut-Gentille,62
324,PA712015,M.,Dive,Julien,1985-05-21,Julien_Dive,35
325,PA748954,M.,Savignat,Antoine,,Antoine_Savignat,45
326,PA720976,M.,Mathiasin,Max,,Max_Mathiasin,65
327,PA702052,Mme,Sage,Maina,1975-05-10,Maina_Sage,45
328,PA332228,M.,Benoit,Thierry,1966-09-13,Thierry_Benoit,54
329,PA337483,M.,Letchimy,Serge,1953-01-13,Serge_Letchimy,68
330,PA643145,Mme,Vainqueur-Christophe,Hélène,1956-05-06,Hélène_Vainqueur-Christophe,64
331,PA719146,M.,Acquaviva,Jean-Félix,,Jean-Félix_Acquaviva,47
332,PA2150,M.,Mélenchon,Jean-Luc,,Jean-Luc_Mélenchon,69
333,PA610667,M.,Serville,Gabriel,1959-09-27,Gabriel_Serville,61
334,PA721118,M.,Brotherson,Moetai,,Moetai_Brotherson,51
335,PA719632,Mme,Panonacle,Sophie,,Sophie_Panonacle,52
336,PA719718,Mme,Maillart-Méhaignerie,Laurence,,Laurence_Maillart-Méhaignerie,53
337,PA720538,Mme,De Temmerman,Jennifer,,Jennifer_De Temmerman,44
338,PA721372,M.,Pichereau,Damien,,Damien_Pichereau,33
339,PA722000,M.,Buchou,Stéphane,,Stéphane_Buchou,46
340,PA267204,M.,Sermier,Jean-Marie,1961-03-05,Jean-Marie_Sermier,59
341,PA721530,Mme,Luquet,Aude,,Aude_Luquet,53
342,PA2449,M.,Pont,Jean-Pierre,,Jean-Pierre_Pont,70
343,PA719592,M.,Simian,Benoit,,Benoît_Simian,37
344,PA719652,Mme,Hammerer,Véronique,,Véronique_Hammerer,52
345,PA719778,M.,Jolivet,François,,François_Jolivet,54
346,PA719972,Mme,Sarles,Nathalie,,Nathalie_Sarles,58
347,PA720138,Mme,Saint-Paul,Laetitia,,Laëtitia_Saint-Paul,40
348,PA720190,M.,Sorre,Bertrand,,Bertrand_Sorre,55
349,PA720278,M.,Orphelin,Matthieu,,Matthieu_Orphelin,48
350,PA720414,M.,Perrot,Patrice,,Patrice_Perrot,57
351,PA721166,Mme,Cazebonne,Samantha,,Samantha_Cazebonne,49
352,PA721458,M.,Roseren,Xavier,,Xavier_Roseren,51
353,PA2377,M.,Perrut,Bernard,1957-01-24,Bernard_Perrut,64
354,PA856,M.,Cherpion,Gérard,1948-03-15,Gérard_Cherpion,72
355,PA2155,M.,Menuel,Gérard,1952-05-07,Gérard_Menuel,68
356,PA720586,M.,Vatin,Pierre,,Pierre_Vatin,53
357,PA267324,M.,Gaultier,Jean-Jacques,,Jean-Jacques_Gaultier,57
358,PA267527,M.,Saddier,Martial,1969-10-15,Martial_Saddier,51
359,PA718838,M.,Brun,Fabrice,,Fabrice_Brun,52
360,PA721968,M.,Vialay,Michel,,Michel_Vialay,61
361,PA267735,M.,de Ganay,Claude,1953-09-05,Claude_de Ganay,67
362,PA267785,M.,Larrivé,Guillaume,1977-01-24,Guillaume_Larrivé,44
363,PA267318,M.,Grelier,Jean-Carles,,Jean-Carles_Grelier,54
364,PA718884,Mme,Bazin-Malgras,Valérie,,Valérie_Bazin-Malgras,51
365,PA346054,M.,Maquet,Emmanuel,,Emmanuel_Maquet,52
366,PA330909,M.,Descoeur,Vincent,,Vincent_Descoeur,58
367,PA1695,M.,Jacob,Christian,1959-12-04,Christian_Jacob,61
368,PA720764,Mme,Lasserre,Florence,,Florence_Lasserre,46
369,PA720968,Mme,Benin,Justine,,Justine_Benin,45
370,PA722284,M.,Fuchs,Bruno,,Bruno_Fuchs,61
371,PA610775,M.,Gomès,Philippe,1958-10-27,Philippe_Gomès,62
372,PA722110,M.,Wulfranc,Hubert,,Hubert_Wulfranc,64
373,PA722252,Mme,Rixain,Marie-Pierre,,Marie-Pierre_Rixain,44
374,PA718944,Mme,Racon-Bouzon,Cathy,,Cathy_Racon-Bouzon,44
